date,Open,High,Low,Weekday,Close
2012-09-14,1.615,1.6255,1.6135,Friday,1.6211
2012-09-13,1.6107,1.6174,1.6072,Thursday,1.6149
2012-09-12,1.6067,1.6131,1.6062,Wednesday,1.6107
2012-09-11,1.5986,1.6083,1.5985,Tuesday,1.6066
2012-09-10,1.6012,1.6018,1.5958,Monday,1.5985
2012-09-07,1.5933,1.6034,1.5921,Friday,1.6024
2012-09-06,1.5901,1.5943,1.588,Thursday,1.5935
2012-09-05,1.5873,1.5934,1.5824,Wednesday,1.5901
2012-09-04,1.5882,1.591,1.5857,Tuesday,1.5875
2012-09-03,1.5879,1.5898,1.5847,Monday,1.5882
2012-08-31,1.5783,1.5895,1.5776,Friday,1.5863
2012-08-30,1.5828,1.5875,1.5769,Thursday,1.5783
2012-08-29,1.5819,1.5855,1.5801,Wednesday,1.5827
2012-08-28,1.5789,1.5836,1.5752,Tuesday,1.5817
2012-08-27,1.5814,1.5828,1.5785,Monday,1.5789
2012-08-24,1.5858,1.5869,1.58,Friday,1.58
2012-08-23,1.588,1.5912,1.5853,Thursday,1.5858
2012-08-22,1.5782,1.5883,1.5765,Wednesday,1.5881
2012-08-21,1.5709,1.5804,1.5704,Tuesday,1.5782
2012-08-20,1.5695,1.5717,1.5676,Monday,1.5708
2012-08-17,1.5735,1.5739,1.5673,Friday,1.5697
2012-08-16,1.5679,1.5744,1.5634,Thursday,1.5734
2012-08-15,1.5675,1.5702,1.5659,Wednesday,1.5679
2012-08-14,1.5679,1.5728,1.5669,Tuesday,1.5674
2012-08-13,1.5675,1.5717,1.5655,Monday,1.568
2012-08-10,1.5634,1.5701,1.5576,Friday,1.5683
2012-08-09,1.5657,1.5685,1.5604,Thursday,1.5633
2012-08-08,1.5621,1.5676,1.5571,Wednesday,1.5656
2012-08-07,1.56,1.5684,1.5562,Tuesday,1.562
2012-08-06,1.5635,1.5665,1.5545,Monday,1.5598
2012-08-03,1.5514,1.5657,1.5502,Friday,1.5642
2012-08-02,1.5539,1.5678,1.5488,Thursday,1.5514
2012-08-01,1.5672,1.569,1.5531,Wednesday,1.5537
2012-07-31,1.5703,1.573,1.5624,Tuesday,1.5672
2012-07-30,1.573,1.574,1.5672,Monday,1.5705
2012-07-27,1.5684,1.5768,1.5664,Friday,1.5743
2012-07-26,1.5494,1.5723,1.5469,Thursday,1.5683
2012-07-25,1.5504,1.5551,1.5457,Wednesday,1.5493
2012-07-24,1.5501,1.5552,1.5485,Tuesday,1.5504
2012-07-23,1.5606,1.5616,1.5483,Monday,1.5501
2012-07-20,1.5718,1.5722,1.561,Friday,1.5619
2012-07-19,1.5653,1.5737,1.5635,Thursday,1.5717
2012-07-18,1.5648,1.5668,1.558,Wednesday,1.5652
2012-07-17,1.5632,1.5678,1.5552,Tuesday,1.5643
2012-07-16,1.5579,1.5654,1.5516,Monday,1.5631
2012-07-13,1.543,1.558,1.5413,Friday,1.5574
2012-07-12,1.5507,1.5516,1.539,Thursday,1.5431
2012-07-11,1.5516,1.5578,1.5483,Wednesday,1.5502
2012-07-10,1.5524,1.5549,1.5476,Tuesday,1.5515
2012-07-09,1.5475,1.5534,1.5469,Monday,1.5524
2012-07-06,1.5521,1.5551,1.5458,Friday,1.5489
2012-07-05,1.5593,1.5623,1.5498,Thursday,1.5522
2012-07-04,1.5687,1.569,1.5573,Wednesday,1.5593
2012-07-03,1.5691,1.5713,1.5656,Tuesday,1.5685
2012-07-02,1.5696,1.5722,1.564,Monday,1.569
2012-06-29,1.5514,1.5714,1.5506,Friday,1.5706
2012-06-28,1.5565,1.5624,1.5483,Thursday,1.5515
2012-06-27,1.5633,1.5641,1.5545,Wednesday,1.5565
2012-06-26,1.5569,1.5651,1.5561,Tuesday,1.5635
2012-06-25,1.5583,1.5594,1.5537,Monday,1.5571
2012-06-22,1.5595,1.5634,1.5555,Friday,1.5576
