Open,High,Low,Weekday,Close
1.5449,1.5538,1.5445,Wednesday,1.5527
1.267,1.2735,1.2663,Friday,1.2696
1.2501,1.2529,1.2379,Tuesday,1.2448
1.6089,1.6127,1.5989,Tuesday,1.6063
1.6898,1.6912,1.6849,Thursday,1.6867
1.4189,1.4234,1.4138,Friday,1.4147
1.6654,1.6741,1.6643,Friday,1.6658
1.6484,1.6501,1.6323,Thursday,1.6335
1.3784,1.3909,1.3754,Friday,1.39
1.531,1.5347,1.5246,Wednesday,1.527
1.9023,1.9063,1.8993,Friday,1.9
1.3291,1.33,1.3183,Monday,1.3243
1.2426,1.2485,1.2387,Wednesday,1.2471
1.5551,1.5705,1.5525,Tuesday,1.5633
1.2658,1.2706,1.2515,Thursday,1.2529
1.4935,1.4978,1.4814,Tuesday,1.4864
1.3125,1.3186,1.3116,Thursday,1.3142
1.626,1.6343,1.6212,Wednesday,1.6325
1.3037,1.3042,1.2954,Tuesday,1.3004
1.213,1.2234,1.2105,Wednesday,1.2201
1.2075,1.2277,1.2063,Wednesday,1.2216
1.2688,1.2732,1.2668,Tuesday,1.2722
1.4828,1.4872,1.4736,Wednesday,1.4828
1.3022,1.3084,1.3007,Tuesday,1.3029
1.286,1.2883,1.2775,Tuesday,1.2786
1.3133,1.3181,1.3133,Monday,1.3139
1.9816,1.9929,1.9801,Wednesday,1.9927
1.294,1.3114,1.2932,Friday,1.309
1.249,1.2501,1.2327,Wednesday,1.2339
1.755,1.7616,1.7477,Wednesday,1.754
1.487,1.4945,1.4866,Thursday,1.4908
1.6491,1.6732,1.6474,Friday,1.6707
1.6332,1.6385,1.63,Friday,1.6346
1.5321,1.5404,1.5308,Tuesday,1.5332
1.2711,1.2804,1.271,Wednesday,1.2797
1.068,1.0838,1.0649,Tuesday,1.0732
1.3319,1.3388,1.322,Tuesday,1.336
1.2511,1.2696,1.2505,Thursday,1.2591
1.7391,1.7473,1.733,Monday,1.7466
1.2591,1.27,1.2564,Monday,1.2676
1.9644,1.9702,1.9591,Tuesday,1.9609
1.2987,1.3141,1.2983,Thursday,1.3131
1.4535,1.4722,1.4437,Tuesday,1.4641
1.7553,1.7558,1.7441,Tuesday,1.7463
1.8782,1.8925,1.8778,Thursday,1.8897
1.7033,1.7114,1.7009,Monday,1.7109
1.6063,1.608,1.5973,Wednesday,1.6004
1.6238,1.6272,1.6216,Monday,1.6241
1.2224,1.2291,1.2197,Wednesday,1.2213
1.251,1.2571,1.2504,Thursday,1.2528
1.3729,1.3767,1.3695,Wednesday,1.3758
1.2524,1.2582,1.2459,Friday,1.2478
1.4673,1.4782,1.4613,Tuesday,1.4662
